region,core,lat,long,water_depth_m,B_Ca_umolmol,CO3_mmolkg,omega_c,DCO3_c
Southern,NBP98-02-sta7-MC2,-60.28,-170.02,3995,109,77.773316,0.83,-15.70259823
Southern,NBP98-02-sta8-MC1,-58.69,-169.98,4324,76,78.710981,0.79,-20.75864377
Pacific,TT013_113,4.04,-139.85,4431,108,78.471726,0.78,-22.46887346
Pacific,TT013_63,-0.87,-139.83,4276,111,79.302044,0.81,-18.71012752
Pacific,TT013_19,-1.87,-139.72,4376,100,80.35776,0.8,-19.53384378
Pacific,K7905-21BC,1.05,-138.95,4442,89,79.526711,0.79,-21.62169288
Pacific,PLDS-107,6.16,-138.28,3694,90,77.759652,0.89,-9.922257241
Pacific,138-851B,2.77,-110.57,3760,129,76.6397,0.86,-12.13913068
Pacific,VNTR01-6GC,2.76,-110.55,3765,115,76.665603,0.86,-12.19832308
Pacific,VNTR01-8PC,0.04,-110.48,3791,95,76.646566,0.86,-12.66812979
Pacific,PLDS-70-1,1.06,-107.22,4849,98,80.030193,0.73,-28.98047051
Atlantic,KN178-MC-1-D,36.12,-72.29,3979,179,103.881319,1.13,11.95905946
Atlantic,KN178-MC-4-B,36.12,-72.28,3865,160,103.948473,1.16,14.00445564
Atlantic,INMD-042BX,28.57,-46.36,3774,136,104.799952,1.19,16.44942084
Atlantic,154-928B,5.46,-43.75,4024,126,101.958825,1.1,9.168638082
Atlantic,154-928B,5.46,-43.75,4024,145,101.958825,1.1,9.168638082
Atlantic,KNR110-45,4.78,-43.48,3669,148,103.152264,1.19,16.52090508
Atlantic,KN110-58,4.48,-43.23,4300,134,96.432029,0.98,-1.700672819
Atlantic,KNR110-94,4.88,-43.08,4107,140,100.945103,1.07,6.608565223
Atlantic,KNR110-53,4.92,-43.05,4300,157,97.058107,0.99,-1.030577008
Atlantic,KNR110-57,5.03,-42.73,4566,131,92.958476,0.9,-10.31542848
Atlantic,INMD-056BX,32.46,-34.07,3812,137,105.103064,1.18,16.16613138
Atlantic,INMD-104BX,4.25,-21.92,3279,151,104.499017,1.3,24.19801097
Atlantic,INMD-106BX,2.73,-20.94,4702,126,92.732923,0.88,-12.94223897
Atlantic,INMD-073BX,34.97,-17.36,4052,138,103.325144,1.11,10.30352982
Pacific,ERDC-135BX,0.88,160.99,3509,101,74.510937,0.88,-10.03990012
