species,omega_c,B_Ca_umolmol
Nuttallides umbonifera,0.790464562,75.64811722
Nuttallides umbonifera,0.7298999,97.7110571
Nuttallides umbonifera,0.790605094,88.82298734
Nuttallides umbonifera,0.889816041,89.84933132
Nuttallides umbonifera,0.860002534,94.83303192
Nuttallides umbonifera,0.880331287,100.6535887
Nuttallides umbonifera,0.780141223,107.8351169
Nuttallides umbonifera,0.800320229,99.61687766
Nuttallides umbonifera,0.831352447,108.8873786
Nuttallides umbonifera,0.811106631,110.842155
Nuttallides umbonifera,0.861281145,114.7027519
Nuttallides umbonifera,0.881665188,125.7068642
Nuttallides umbonifera,0.861433195,128.9575294
Nuttallides umbonifera,0.900918065,130.664071
Nuttallides umbonifera,0.982016518,133.6440395
Nuttallides umbonifera,1.101397256,125.5882184
Nuttallides umbonifera,1.112192874,137.6774216
Nuttallides umbonifera,1.101597687,144.3786069
Nuttallides umbonifera,1.070611544,139.4277355
Nuttallides umbonifera,0.990796309,156.74945
Nuttallides umbonifera,1.13183279,178.9195167
Nuttallides umbonifera,1.161494246,159.6810386
Nuttallides umbonifera,1.191234032,147.7859307
Nuttallides umbonifera,1.181514289,136.5600774
Nuttallides umbonifera,1.191105019,135.6909679
Nuttallides umbonifera,1.302196676,150.533791
